%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101469.386,304.216,1.162,0.000,-0.095,0.040,-2.486,-1.672,0.856,1.359,0.433,-1.038,-1.922,-1.819,-0.223,-0.938,1.796,-2.761,2.199,-0.522,0.104,-0.675,-7.014,-0.092,-0.256,-0.001,535.448,336.520
101473.418,304.218,1.162,0.000,-0.174,0.040,-3.243,-1.115,0.642,1.673,0.216,-1.660,-1.495,-1.819,-0.335,0.104,1.268,-2.973,1.675,0.628,-0.518,-0.338,-7.035,-0.073,-0.236,-0.001,535.448,336.520
101457.292,304.219,1.162,0.000,-0.016,-0.120,-1.729,-2.118,0.963,1.673,0.433,-2.179,-0.961,-1.284,-1.116,-0.208,1.479,-2.761,1.780,0.523,0.519,-1.125,-7.014,-0.111,-0.246,-0.002,535.448,336.520
101473.418,304.221,1.162,0.000,-0.095,0.040,-2.702,-0.892,-0.000,1.568,0.216,-1.764,-1.602,-2.140,-0.000,-1.250,1.585,-2.761,1.885,0.314,-0.104,-0.900,-7.025,-0.054,-0.246,-0.002,535.448,336.520
101473.418,304.219,1.162,0.000,-0.016,0.040,-2.162,-1.003,1.070,1.464,0.433,-1.349,-1.281,-1.391,-0.000,0.000,0.951,-2.655,2.303,0.314,-0.207,-0.113,-6.994,-0.092,-0.246,-0.001,535.448,336.520
101481.481,304.224,1.162,0.495,0.142,-0.120,-1.621,-1.895,1.070,1.882,0.108,-1.557,-1.281,-1.712,0.224,-0.521,1.902,-2.973,2.303,0.209,-0.311,-0.675,-7.004,-0.073,-0.256,-0.001,535.448,336.520
101481.481,304.221,1.162,0.617,0.221,-0.120,-1.946,-1.115,-0.000,1.568,0.541,-2.075,-1.281,-1.712,-0.335,-0.313,2.219,-2.336,1.256,0.209,-0.207,-0.900,-7.004,-0.092,-0.246,-0.002,535.448,336.520
101485.512,304.215,1.162,0.617,0.221,-0.280,-2.378,-1.226,0.856,1.255,0.324,-1.349,-1.602,-1.712,0.224,-0.417,2.007,-2.867,2.827,0.105,-0.104,-0.788,-7.004,-0.054,-0.246,-0.001,535.448,336.520
101481.481,304.221,1.162,0.495,0.142,0.040,-2.486,-1.449,0.856,1.778,0.216,-1.453,-1.281,-2.354,-0.335,-0.313,2.007,-2.761,1.989,0.733,-0.000,-0.900,-6.994,-0.092,-0.256,-0.001,535.448,336.520
101473.418,304.219,1.162,0.617,0.221,0.040,-2.486,-1.449,1.070,1.673,0.865,-1.764,-1.388,-1.391,-1.005,-0.521,1.585,-2.761,1.885,0.419,-0.207,-1.463,-7.004,-0.035,-0.236,-0.000,535.448,336.520
101477.449,304.219,1.162,0.330,0.063,-0.120,-2.486,-0.557,0.214,1.464,0.324,-1.245,-1.708,-1.819,-0.000,-1.042,1.479,-2.761,1.885,0.419,-0.311,-0.450,-7.014,-0.073,-0.266,-0.001,535.448,336.520
101469.386,304.219,1.162,0.000,-0.095,-0.280,-2.594,-1.560,1.177,1.150,0.216,-1.557,-1.068,-1.819,-0.446,0.626,1.056,-2.336,2.094,0.523,0.415,-0.563,-7.046,-0.092,-0.256,-0.001,535.448,336.520
101473.418,304.211,1.162,0.000,-0.016,0.040,-2.054,-2.341,0.535,1.673,0.108,-1.557,-1.388,-1.712,-0.893,-0.313,1.796,-3.504,2.513,0.628,-0.104,-0.675,-7.014,-0.073,-0.266,-0.001,535.448,336.520
101485.512,304.216,1.162,0.617,0.221,-0.120,-2.702,-1.337,-0.214,1.359,0.433,-1.972,-1.708,-2.033,-0.000,-0.834,1.373,-2.336,1.571,0.419,-0.000,-0.450,-7.025,-0.111,-0.236,-0.001,535.448,336.520
101481.481,304.219,1.162,0.617,0.221,0.040,-2.162,-1.895,0.856,1.046,0.216,-2.075,-1.708,-1.819,-0.335,0.104,1.585,-2.761,2.513,-0.313,0.727,-0.900,-7.004,-0.092,-0.246,-0.001,535.448,336.520
101481.481,304.219,1.162,0.495,0.142,0.040,-2.594,-1.115,0.963,1.882,0.108,-1.660,-1.388,-1.819,-0.558,-0.313,1.796,-2.655,1.466,0.837,-0.000,-1.013,-7.025,-0.073,-0.246,-0.001,535.448,336.520
101481.481,304.219,1.162,0.617,0.221,0.040,-2.162,-1.783,0.963,1.882,0.757,-2.179,-1.175,-1.605,-0.446,-0.521,1.690,-2.018,2.199,0.314,0.104,-1.238,-7.004,-0.092,-0.256,-0.001,535.448,336.520
101485.512,304.221,1.162,0.617,0.221,0.040,-1.837,-0.446,1.177,1.464,0.649,-1.349,-2.029,-1.819,-0.223,-0.625,1.690,-2.230,1.885,0.314,0.104,-1.126,-6.983,-0.092,-0.246,-0.001,535.448,336.520
101481.481,304.221,1.162,0.330,0.063,0.200,-2.702,-0.669,0.428,1.568,0.324,-1.349,-1.175,-1.926,-0.000,-0.208,0.951,-1.911,2.303,0.837,0.104,-0.788,-7.004,-0.073,-0.246,-0.002,535.448,336.520
101485.512,304.221,1.162,0.617,0.221,0.040,-2.162,-2.118,0.749,1.359,0.757,-1.245,-0.961,-1.284,-1.005,0.000,2.113,-2.018,2.199,0.523,0.623,-1.126,-7.014,-0.073,-0.256,-0.000,535.448,336.520
101465.355,304.221,1.162,0.495,0.142,0.040,-2.594,-1.226,0.428,1.255,0.757,-1.971,-1.922,-1.284,0.112,-0.521,1.902,-2.973,1.571,1.047,0.000,-0.450,-5.026,-0.111,-0.215,-0.001,535.448,336.520
101469.386,304.223,1.162,0.495,0.142,-0.280,-2.378,-1.226,1.178,1.150,-0.108,-2.075,-1.708,-2.033,0.447,-0.000,1.268,-2.867,2.094,0.000,0.311,-0.563,-5.047,-0.092,-0.205,-0.001,535.448,336.520
101465.355,304.223,1.162,0.330,0.063,0.360,-2.270,-1.003,1.177,1.882,0.324,-1.764,-1.281,-2.568,-0.670,0.209,1.373,-2.442,1.780,0.628,-0.415,-1.125,-5.047,-0.092,-0.205,-0.002,535.448,336.520
101469.386,304.218,1.162,0.330,0.063,0.040,-2.162,-2.118,0.535,1.777,0.757,-1.971,-1.388,-1.712,-0.558,-0.104,1.902,-2.336,1.990,0.419,0.519,-1.351,-5.057,-0.073,-0.195,-0.001,535.448,336.520
101469.386,304.221,1.162,0.495,0.142,0.360,-2.378,-1.003,0.963,1.464,0.649,-1.556,-1.175,-1.819,0.112,-0.208,1.585,-2.230,2.094,0.209,-0.207,-0.225,-5.057,-0.092,-0.205,-0.001,535.448,336.520
101469.386,304.224,1.162,0.000,-0.016,0.200,-2.702,-1.672,1.284,1.673,0.216,-1.660,-1.388,-2.247,-0.223,-0.313,1.373,-2.124,2.199,0.419,0.623,-0.788,-5.067,-0.073,-0.195,-0.001,535.448,336.520
101465.355,304.224,1.162,0.330,0.063,0.200,-2.162,-2.675,1.070,1.568,0.108,-1.972,-1.495,-1.712,-0.670,-0.104,1.690,-3.398,1.885,0.942,0.415,-0.450,-5.057,-0.092,-0.205,-0.001,535.448,336.520
101469.386,304.224,1.162,0.808,0.379,-0.120,-1.946,-0.892,0.321,1.777,0.433,-2.075,-1.388,-1.177,-0.223,-0.625,1.902,-2.442,1.675,0.942,0.208,-0.563,-5.026,-0.073,-0.205,-0.002,535.448,336.520
101477.449,304.224,1.162,0.719,0.300,0.200,-2.162,-1.560,1.070,0.941,0.541,-1.453,-1.495,-2.033,0.112,-0.313,1.373,-2.973,1.885,-0.209,0.208,-0.113,-5.047,-0.092,-0.205,-0.002,535.448,336.520
101473.418,304.224,1.162,0.495,0.142,0.200,-2.054,-1.449,0.749,2.300,-0.108,-1.972,-1.175,-1.926,-0.781,0.104,2.113,-2.442,1.885,0.837,-0.104,-0.563,-5.036,-0.131,-0.195,-0.001,535.448,336.520
101481.481,304.226,1.162,0.495,0.142,0.200,-2.054,-1.226,0.749,1.777,0.541,-2.075,-1.068,-1.391,-0.335,-0.313,1.796,-2.336,2.094,0.105,0.415,-0.900,-5.015,-0.111,-0.205,-0.001,535.448,336.520
101481.481,304.223,1.162,0.330,0.063,0.040,-2.054,-0.780,1.713,1.777,0.541,-1.349,-1.922,-1.605,-0.112,-0.417,1.902,-2.124,2.199,0.419,-0.207,-0.338,-5.057,-0.092,-0.205,-0.002,535.448,336.520
101477.449,304.223,1.162,0.000,-0.095,0.200,-2.486,-0.446,1.713,1.568,0.216,-1.349,-1.175,-2.461,-0.446,0.626,1.479,-2.655,2.408,1.151,0.311,-0.225,-5.057,-0.092,-0.205,-0.001,535.448,336.520
101469.386,304.229,1.162,0.495,0.142,0.040,-1.946,-1.895,0.963,1.464,0.108,-1.557,-0.854,-1.391,-0.781,-0.313,1.796,-2.230,1.885,1.151,0.519,-1.125,-5.067,-0.092,-0.215,-0.002,535.448,336.520
101473.418,304.224,1.162,0.000,-0.016,-0.120,-2.054,-0.557,0.321,1.568,0.216,-1.557,-1.495,-1.926,-0.112,-1.042,2.007,-2.867,1.989,0.419,0.415,-0.338,-5.057,-0.131,-0.205,-0.001,535.448,336.520
101473.418,304.226,1.162,0.330,0.063,-0.440,-2.270,-1.672,1.070,0.836,0.324,-1.245,-1.708,-2.140,-0.558,0.209,0.634,-2.655,1.780,-0.313,0.415,-0.901,-5.057,-0.092,-0.215,-0.001,535.448,336.520
101469.386,304.226,1.162,0.000,-0.095,-0.120,-3.026,-2.118,0.642,1.255,-0.216,-1.764,-1.495,-1.498,-1.005,-0.417,1.690,-3.398,1.989,0.209,-0.000,-0.675,-5.099,-0.111,-0.205,-0.001,535.448,336.520
101473.418,304.227,1.162,0.495,0.142,0.040,-2.486,-0.669,0.749,1.359,0.324,-2.387,-1.281,-2.033,-0.335,-0.521,1.373,-2.336,1.780,0.000,0.104,-0.450,-5.067,-0.111,-0.185,-0.001,535.448,336.520
101477.449,304.226,1.162,0.000,-0.174,0.040,-2.702,-1.783,0.856,0.836,0.108,-1.349,-2.242,-2.033,-0.335,-0.834,0.845,-2.655,2.094,-1.045,-0.104,-0.788,-5.088,-0.111,-0.205,-0.002,535.448,336.520
101477.449,304.227,1.162,0.000,-0.095,0.040,-2.810,-1.895,0.321,1.568,0.324,-2.283,-1.922,-2.782,-0.558,-0.729,1.479,-2.867,1.885,0.628,-0.311,-0.788,-5.047,-0.092,-0.205,-0.001,535.448,336.520
101465.355,304.227,1.162,0.000,-0.095,0.200,-2.054,-1.449,0.749,0.941,0.000,-1.764,-1.922,-1.819,-0.335,-0.208,2.007,-2.230,2.094,-0.627,0.208,-0.225,-2.975,-0.092,-0.114,-0.001,535.448,336.520
101477.449,304.234,1.162,0.330,0.063,0.040,-2.486,-1.783,1.285,2.196,0.000,-1.038,-1.388,-1.819,-0.335,0.209,1.796,-2.230,1.885,0.837,-0.415,-0.788,-3.016,-0.092,-0.114,-0.003,535.448,336.520
101481.481,304.227,1.162,0.000,-0.016,-0.120,-2.270,-1.003,1.177,1.673,0.649,-1.868,-1.175,-1.391,-0.558,-0.625,2.007,-2.336,1.675,0.000,-0.207,-1.463,-2.985,-0.092,-0.114,-0.002,535.448,336.520
101469.386,304.231,1.162,0.495,0.142,0.040,-1.729,-1.449,0.535,1.568,0.649,-1.453,-1.495,-1.498,0.112,-0.417,2.007,-2.548,2.199,0.628,0.311,-0.338,-2.964,-0.111,-0.124,-0.002,535.448,336.520
101473.418,304.232,1.162,0.000,-0.016,0.200,-2.810,-1.226,1.284,1.359,0.865,-1.453,-1.068,-2.354,-0.335,0.209,1.373,-1.911,2.408,0.733,0.519,-1.125,-2.975,-0.054,-0.104,-0.002,535.448,336.520
101481.481,304.231,1.162,0.000,-0.095,0.040,-2.162,-2.006,0.749,2.196,0.324,-1.557,-0.961,-1.070,-0.335,-0.104,1.796,-2.761,2.199,1.151,0.519,-0.675,-2.943,-0.054,-0.114,-0.001,535.448,336.520
101481.481,304.232,1.162,0.330,0.063,0.040,-1.729,-1.003,0.428,1.150,0.649,-1.764,-1.068,-1.177,0.336,-0.417,1.479,-2.018,1.780,0.628,0.519,-0.113,-2.975,-0.111,-0.134,-0.002,535.448,336.520
101477.449,304.236,1.162,0.000,-0.016,-0.120,-2.054,-1.226,1.606,1.150,0.649,-1.038,-1.068,-1.498,0.000,0.417,1.584,-2.442,2.199,-0.418,0.623,-0.225,-2.943,-0.092,-0.114,-0.001,535.448,336.520
101485.512,304.237,1.162,0.000,-0.095,-0.440,-2.378,-1.226,0.963,1.568,-0.108,-1.453,-0.854,-1.605,0.112,0.209,2.218,-2.442,1.989,0.733,0.000,-0.113,-2.975,-0.054,-0.104,-0.002,535.448,336.520
101489.543,304.229,1.162,0.000,-0.174,-0.120,-2.270,-0.780,0.963,1.777,1.082,-1.868,-0.961,-1.498,-0.112,0.104,1.901,-1.487,1.885,0.523,0.311,-1.013,-2.975,-0.092,-0.124,-0.002,535.448,336.520
101473.418,304.229,1.162,0.000,-0.174,0.040,-1.946,-0.669,0.856,2.091,0.541,-1.038,-1.602,-1.712,-0.335,-0.417,2.113,-2.124,2.513,0.523,-0.311,-0.000,-2.964,-0.092,-0.124,-0.003,535.448,336.520
101477.449,304.229,1.162,0.000,-0.095,-0.280,-2.594,-1.783,0.856,1.673,0.433,-1.453,-0.961,-2.461,-0.446,0.000,2.113,-2.124,2.199,1.151,0.104,-0.788,-2.964,-0.054,-0.124,-0.002,535.448,336.520
101481.481,304.226,1.162,0.000,-0.174,0.040,-2.270,-2.006,0.535,1.464,0.649,-1.349,-1.815,-1.177,-0.893,-0.417,1.268,-2.655,2.303,0.628,0.415,-0.563,-2.996,-0.073,-0.134,-0.002,535.448,336.520
101481.481,304.232,1.162,0.330,0.063,-0.120,-2.378,-0.780,0.321,1.568,0.216,-1.660,-1.495,-2.033,-0.223,-1.146,1.690,-2.336,1.885,0.419,0.415,-0.338,-2.975,-0.092,-0.114,-0.001,535.448,336.520
101489.543,304.229,1.162,0.000,-0.095,-0.120,-2.918,-1.115,0.749,0.836,0.649,-1.972,-0.961,-1.498,-0.223,0.000,1.268,-2.336,1.989,-0.418,0.415,-0.563,-2.954,-0.054,-0.114,-0.001,535.448,336.520
101485.512,304.232,1.162,0.000,-0.016,0.040,-1.405,-1.672,1.177,1.882,-0.108,-1.453,-1.388,-1.605,-0.446,-0.208,2.113,-3.292,2.408,0.733,0.104,-1.013,-2.954,-0.073,-0.124,-0.002,535.448,336.520
101485.512,304.234,1.162,0.330,0.063,0.200,-1.729,-1.115,0.535,1.359,0.757,-2.387,-1.602,-1.926,-0.335,-0.417,1.585,-1.911,1.780,0.105,0.415,-0.563,-2.933,-0.073,-0.124,-0.003,535.448,336.520
101485.512,304.232,1.162,0.330,0.063,0.040,-2.054,-0.780,0.749,1.464,0.216,-1.453,-1.815,-1.498,0.112,-0.208,1.585,-2.548,1.989,-0.209,0.415,-0.788,-2.964,-0.092,-0.124,-0.001,535.448,336.520
101485.512,304.231,1.162,0.330,0.063,0.040,-2.270,-1.226,0.749,1.255,0.433,-1.660,-1.602,-2.461,-0.446,0.000,1.585,-2.867,1.780,0.733,0.104,-0.675,-2.943,-0.073,-0.114,-0.002,535.448,336.520
101477.449,304.229,1.162,0.000,-0.095,0.200,-2.270,-1.337,0.428,1.464,0.757,-1.660,-1.602,-1.819,-0.558,0.104,1.479,-2.548,2.722,0.209,0.000,-0.900,-2.954,-0.073,-0.104,-0.002,535.448,336.520
101481.481,304.242,1.162,0.000,-0.174,0.200,-2.702,-1.337,0.428,1.046,0.216,-1.868,-1.922,-2.461,-0.446,-0.313,0.845,-3.292,2.199,-0.627,0.000,-0.900,-1.101,-0.092,-0.023,-0.002,535.448,336.520
101477.449,304.240,1.162,0.000,-0.253,-0.280,-2.594,-2.229,0.963,1.255,-0.432,-1.557,-1.388,-2.140,-0.558,-0.208,2.218,-3.504,1.885,0.523,-0.311,-0.450,-1.080,-0.054,-0.033,-0.002,535.448,336.520
