%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100384.925,303.678,1.152,0,-0.19,-0.376,-2.378,-1.115,0.749,1.568,-0.108,-1.349,-1.708,-1.498,0.224,-0.521,2.113,-1.593,2.618,0.523,0.415,0,-8.009,0.039,-0.485,0.002,535.448,336.52
100397.019,303.676,1.152,0,-0.427,-0.376,-3.351,-1.337,0.963,1.464,0.108,-1.557,-0.747,-2.14,-0.558,-0.521,1.162,-2.442,1.78,0.837,-0.104,-0.563,-7.988,0.058,-0.465,0.002,535.448,336.52
100380.894,303.681,1.152,0,-0.348,-0.536,-2.054,-2.563,1.07,1.673,0.324,-1.764,-1.602,-1.391,-0.223,-0.417,2.324,-2.761,1.885,0.733,0.208,-0.45,-7.946,0.077,-0.465,0.002,535.448,336.52
100380.894,303.678,1.152,0,-0.506,-0.536,-2.918,-1.337,-0.107,1.359,0.324,-1.972,-1.068,-1.926,0,-0.521,2.007,-1.911,1.675,0.523,0.311,-0.225,-7.988,0.058,-0.465,0.003,535.448,336.52
100360.736,303.679,1.151,0,-0.269,-0.376,-2.702,-1.672,1.07,1.15,-0.108,-1.972,-2.136,-1.391,-0.335,-0.104,1.796,-2.23,2.513,-0.104,0.519,0,-8.009,0.058,-0.475,0.003,535.448,336.52
100376.862,303.676,1.152,0,-0.269,-0.696,-2.81,-1.56,0.642,1.777,-0.108,-1.453,-1.281,-2.033,0.447,-0.313,2.113,-2.018,1.989,0.942,-0.104,-0.901,-7.978,0.058,-0.475,0.004,535.448,336.52
100380.894,303.676,1.152,0,-0.19,-0.376,-2.27,-1.895,0.856,1.255,0.216,-2.387,-1.495,-2.14,-1.116,-0.313,1.796,-2.442,2.303,0.523,0.831,-0.675,-7.957,0.039,-0.475,0.003,535.448,336.52
100388.956,303.679,1.152,0,-0.19,-0.056,-2.378,-0.557,0.321,1.359,0,-1.764,-1.281,-1.605,0.112,-0.729,2.113,-2.018,2.618,0.628,0.104,-0.225,-7.967,0.019,-0.475,0.003,535.448,336.52
100368.799,303.679,1.151,0,-0.269,-0.376,-4.107,-1.56,0.856,1.15,0.541,-2.179,-1.175,-2.033,-0.223,-0.104,1.584,-2.124,2.199,0.733,0.311,-0.338,-7.967,0.019,-0.485,0.003,535.448,336.52
100380.894,303.676,1.152,0,-0.111,-0.536,-1.729,-2.341,0.856,1.464,-0.324,-1.868,-1.281,-1.712,-0.446,-0.833,2.113,-2.867,2.094,1.151,0.208,-0.113,-7.936,0.058,-0.454,0.003,535.448,336.52
100372.831,303.679,1.151,0,-0.269,-0.536,-2.918,-1.115,0.321,1.568,0.433,-2.491,-1.388,-2.14,0,-0.417,2.113,-1.911,1.256,0.733,0.831,-0.563,-7.988,0.039,-0.465,0.002,535.448,336.52
100376.862,303.679,1.151,0,-0.19,-0.696,-2.486,-1.56,0.749,0.941,0.108,-1.245,-1.815,-1.605,-0.781,-0.208,2.007,-1.911,2.199,0.105,0.727,0.113,-7.978,0.019,-0.465,0.002,535.448,336.52
100376.862,303.684,1.151,0,-0.269,-0.536,-2.162,-1.56,0.856,2.614,-0.324,-1.764,-1.068,-2.354,-0.558,-0.313,2.218,-1.805,2.199,1.361,0.208,-0.45,-7.988,0.039,-0.465,0.003,535.448,336.52
100364.768,303.678,1.151,0,-0.269,-0.696,-2.054,-2.118,0.428,1.568,1.19,-2.179,-1.495,-1.498,-0.67,-0.208,2.218,-2.124,2.408,0.628,0.831,-0.45,-7.998,0.039,-0.485,0.003,535.448,336.52
100368.799,303.678,1.151,0,-0.269,-0.696,-2.378,-0.557,0.428,1.882,0.649,-1.453,-1.388,-1.605,0.559,-0.833,2.007,-1.911,2.303,0.837,0.311,-0.225,-7.988,0.039,-0.485,0.003,535.448,336.52
100388.956,303.679,1.152,0,-0.269,-0.376,-2.378,-1.672,0.856,1.359,0.541,-1.557,-0.747,-1.391,-0.335,0.209,1.162,-1.274,2.408,0.628,0.727,0,-7.967,0.019,-0.465,0.003,535.448,336.52
100376.862,303.684,1.151,0,-0.111,-0.376,-2.162,-1.449,0.856,1.777,-0.432,-1.557,-1.068,-1.391,-0.781,0,2.641,-2.124,2.199,1.256,0.415,0.226,-7.957,0.039,-0.475,0.003,535.448,336.52
100380.894,303.682,1.152,0,-0.032,-0.216,-2.378,-1.003,0.963,1.568,1.19,-2.283,-1.281,-1.284,-0.558,-0.417,2.007,-1.699,1.885,0.314,0.831,-0.45,-7.936,0.039,-0.475,0.002,535.448,336.52
100372.831,303.684,1.151,0,-0.032,-0.536,-2.594,-0.446,1.177,1.882,1.081,-1.557,-1.495,-1.177,-0.112,-0.833,1.796,-1.699,2.618,0.105,0.415,0.338,-7.957,0.039,-0.475,0.003,535.448,336.52
100384.925,303.684,1.152,0.287,0.047,-0.056,-3.026,-1.449,1.285,1.882,0.541,-1.141,-0.747,-2.14,0,-0.208,1.901,-1.805,2.408,1.256,0.831,-0.225,-7.957,0.039,-0.475,0.003,535.448,336.52
100376.862,303.689,1.151,0,-0.19,-0.536,-2.378,-0.892,-0.214,1.882,0.108,-1.764,-0.854,-1.712,0.112,-1.042,2.113,-2.23,1.989,0.628,0.415,0.338,-6.01,0.019,-0.373,0.001,535.448,336.52
