%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101066.241,302.109,1.165,0.000,-0.150,0.208,-2.054,-0.334,2.355,3.137,1.081,-0.519,-0.320,-1.712,0.447,0.939,3.169,-1.062,3.350,1.570,0.623,0.790,-8.018,0.151,-0.484,0.003,535.448,336.520
101086.398,302.107,1.166,0.000,-0.229,0.048,-1.081,-1.226,1.927,2.718,1.947,-0.727,-0.427,-0.749,-0.223,0.835,2.536,-1.274,3.246,1.674,1.246,0.338,-8.029,0.132,-0.484,0.004,535.448,336.520
101070.272,302.107,1.165,0.000,-0.466,0.368,-1.729,-0.223,1.392,2.509,1.081,-0.519,-0.427,-0.749,0.671,0.000,2.641,-0.956,2.722,1.884,1.558,0.677,-8.029,0.112,-0.494,0.004,535.448,336.520
101082.366,302.105,1.166,0.000,-0.308,0.048,-1.621,0.000,2.569,1.882,0.757,-0.830,-0.534,-1.177,0.783,1.253,2.324,-1.274,3.246,0.942,1.350,0.902,-8.029,0.151,-0.474,0.004,535.448,336.520
101078.335,302.107,1.166,0.000,-0.466,-0.112,-1.513,-0.780,2.248,2.928,0.757,-0.934,-0.107,-0.963,0.559,1.148,3.064,-2.124,2.932,1.570,1.142,1.015,-8.049,0.189,-0.484,0.003,535.448,336.520
101074.304,302.102,1.166,0.000,-0.466,-0.112,-1.081,-0.334,1.392,2.405,1.298,-1.349,-0.214,-0.428,0.783,1.044,3.064,-0.531,2.722,1.256,1.973,0.226,-8.029,0.189,-0.484,0.003,535.448,336.520
101078.335,302.109,1.166,0.000,-0.071,-0.112,-1.189,-0.223,1.820,2.614,0.757,-0.519,-1.068,-0.856,0.783,0.209,2.536,-1.168,3.350,1.151,1.142,0.564,-8.049,0.151,-0.484,0.004,535.448,336.520
101074.304,302.110,1.166,0.000,-0.387,0.368,-2.054,-0.334,1.606,2.718,0.865,-0.830,-0.427,-1.498,-0.000,0.418,2.536,-1.381,2.932,1.465,0.935,0.677,-8.029,0.170,-0.484,0.004,535.448,336.520
101078.335,302.110,1.166,0.000,-0.229,0.048,-1.081,-1.337,1.606,2.614,1.514,-0.934,-0.534,-0.963,0.336,0.731,2.641,-1.381,3.246,1.465,1.038,0.226,-8.008,0.151,-0.484,0.004,535.448,336.520
101082.366,302.112,1.166,0.000,-0.387,0.368,-1.621,-0.669,1.070,1.777,0.973,-1.038,-0.961,-1.070,0.559,-0.313,2.007,-1.912,2.722,1.465,0.415,0.451,-8.018,0.170,-0.494,0.004,535.448,336.520
101082.366,302.112,1.166,0.000,-0.387,-0.112,-1.405,-0.446,1.606,1.673,0.973,-1.245,-1.175,-1.391,0.224,0.000,2.430,-1.381,3.141,0.837,0.831,0.451,-8.018,0.132,-0.484,0.003,535.448,336.520
101082.366,302.110,1.166,0.000,-0.545,-0.272,-1.513,-0.446,1.499,2.614,0.324,-0.623,-0.854,-1.819,0.000,0.418,2.430,-1.593,2.303,1.256,0.000,0.677,-7.977,0.132,-0.484,0.004,535.448,336.520
101070.272,302.109,1.165,0.000,-0.387,-0.272,-1.945,-0.557,1.177,1.777,1.081,-1.764,-0.534,-1.498,-0.447,0.209,2.641,-1.381,2.094,1.151,1.246,-0.563,-8.018,0.151,-0.474,0.003,535.448,336.520
101078.335,302.110,1.166,0.000,-0.387,-0.272,-1.513,-0.223,1.499,2.300,0.973,-0.623,-1.495,-1.712,0.447,-0.417,2.219,-1.805,2.827,0.942,1.038,0.226,-8.018,0.151,-0.484,0.002,535.448,336.520
101078.335,302.105,1.166,0.000,-0.466,-0.272,-2.054,-0.557,1.820,2.091,0.541,-0.623,-0.641,-1.284,-0.223,0.522,2.430,-1.381,3.246,1.465,0.934,-0.225,-8.039,0.170,-0.484,0.002,535.448,336.520
101074.304,302.110,1.166,0.000,-0.387,-0.432,-1.729,-1.783,1.499,1.987,0.757,-1.038,-0.854,-0.963,-0.447,0.418,2.430,-2.018,2.722,1.047,0.519,0.113,-8.049,0.151,-0.474,0.003,535.448,336.520
101066.241,302.110,1.165,0.000,-0.308,-0.272,-1.405,-0.111,1.070,2.509,0.865,-1.142,-0.534,-0.749,0.783,0.000,2.219,-1.274,2.408,1.151,0.519,-0.113,-8.039,0.151,-0.484,0.003,535.448,336.520
101078.335,302.107,1.166,0.000,-0.387,-0.272,-1.729,-0.446,1.820,1.777,0.973,-0.519,-0.747,-1.070,0.447,0.626,2.536,-1.274,2.199,0.523,0.934,0.226,-8.008,0.151,-0.494,0.004,535.448,336.520
101082.366,302.109,1.166,0.000,-0.229,-0.272,-1.945,-0.111,1.713,2.614,0.541,-1.038,-0.641,-1.498,0.895,0.418,2.958,-1.274,3.036,1.151,0.311,-0.113,-8.018,0.132,-0.474,0.003,535.448,336.520
101070.272,302.110,1.165,0.000,-0.308,-0.112,-0.865,-1.115,1.177,2.300,1.298,-1.038,-1.068,-0.642,0.112,0.313,2.852,-1.381,2.617,1.989,1.869,-0.225,-8.029,0.132,-0.464,0.003,535.448,336.520
