%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101078.335,302.178,1.165,0.000,-0.174,0.024,-1.513,0.112,0.535,1.882,0.649,-1.661,-0.641,-1.391,0.336,-0.313,2.219,-1.487,1.989,1.570,0.727,-0.113,-8.012,0.027,-0.496,0.002,535.448,336.520
101074.304,302.180,1.165,0.000,-0.174,0.024,-1.729,-0.557,1.820,1.568,0.757,-0.727,-1.175,-1.177,0.112,-0.208,2.219,-1.699,3.036,0.314,0.935,0.677,-8.012,0.046,-0.496,0.002,535.448,336.520
101086.398,302.181,1.165,0.000,-0.095,-0.456,-2.378,-1.003,1.391,2.300,0.865,-1.245,-0.641,-1.712,0.112,0.313,3.169,-1.062,2.722,1.570,0.312,0.451,-8.012,0.008,-0.496,0.002,535.448,336.520
101094.461,302.181,1.165,0.000,-0.016,0.344,-1.189,-1.003,1.499,2.614,1.298,-1.245,-0.641,-1.070,-0.223,0.000,2.641,-1.805,2.513,1.674,1.350,-0.338,-7.970,0.046,-0.506,0.002,535.448,336.520
101090.429,302.181,1.165,0.494,0.142,0.024,-1.189,-0.557,1.070,2.405,0.973,-0.311,-0.961,-0.963,0.783,-0.313,2.430,-1.062,2.827,0.942,1.038,0.902,-8.002,0.027,-0.506,0.002,535.448,336.520
101086.398,302.183,1.165,0.494,0.142,0.184,-1.945,-1.003,1.927,1.987,0.649,-0.519,-0.534,-1.284,-0.112,1.044,2.113,-1.274,3.141,0.523,1.454,0.451,-8.002,0.027,-0.496,0.001,535.448,336.520
101102.524,302.183,1.166,0.000,-0.016,0.184,-1.189,-0.446,1.927,2.509,0.433,-1.038,-0.320,-1.819,0.224,0.522,3.064,-1.381,2.722,1.360,0.727,0.564,-7.981,0.065,-0.486,0.002,535.448,336.520
101094.461,302.181,1.165,0.494,0.142,0.184,-1.405,-0.334,1.391,2.300,1.406,-1.764,-0.427,-0.749,0.671,0.104,2.430,-0.743,2.827,1.779,0.935,-0.225,-7.981,0.008,-0.496,0.003,535.448,336.520
101086.398,302.180,1.165,0.000,-0.095,0.344,-1.729,-0.000,1.284,2.718,1.190,-0.519,-0.961,-0.749,0.447,0.418,2.852,-0.637,3.350,0.942,0.623,1.128,-8.002,-0.012,-0.506,0.002,535.448,336.520
101086.398,302.181,1.165,0.000,-0.095,-0.136,-1.513,-0.669,1.499,2.196,1.406,-0.726,-0.427,-1.605,0.895,0.835,2.430,-1.381,2.408,1.988,0.727,0.000,-8.012,0.008,-0.506,0.003,535.448,336.520
101090.429,302.180,1.165,0.000,-0.016,0.184,-1.405,-1.226,1.927,2.300,0.865,-0.726,-0.427,-0.749,-0.335,0.626,2.958,-2.124,2.932,1.465,1.246,0.226,-8.002,0.008,-0.486,0.003,535.448,336.520
101082.366,302.178,1.165,0.000,-0.016,-0.296,-1.729,-0.111,1.606,2.614,0.973,-1.141,-0.427,-1.498,1.230,-0.104,2.536,-1.487,2.932,1.465,1.038,0.000,-7.991,0.008,-0.496,0.002,535.448,336.520
101082.366,302.183,1.165,0.000,-0.095,0.024,-1.405,-0.780,1.820,1.568,0.973,-1.038,-0.641,-1.177,0.447,0.835,2.430,-1.168,2.827,0.628,1.350,0.226,-8.002,0.008,-0.486,0.003,535.448,336.520
101082.366,302.180,1.165,0.000,-0.095,0.184,-1.189,-1.337,1.927,2.718,0.433,-1.038,-0.427,-1.819,0.336,0.835,2.641,-1.912,2.932,1.360,-0.207,0.564,-7.991,0.027,-0.486,0.003,535.448,336.520
101094.461,302.180,1.165,0.000,-0.095,0.504,-1.729,-0.223,1.284,1.987,0.649,-1.349,-0.747,-1.070,0.112,0.522,2.113,-1.487,3.141,1.256,1.557,-0.675,-8.012,0.027,-0.486,0.002,535.448,336.520
101090.429,302.184,1.165,0.000,-0.095,0.344,-1.189,-0.223,1.284,2.196,0.541,-0.830,-0.427,-1.284,0.447,-0.313,2.430,-1.593,3.141,1.570,1.142,0.338,-8.012,0.046,-0.496,0.002,535.448,336.520
101106.555,302.183,1.166,0.329,0.063,0.344,-2.270,-1.226,1.284,2.196,0.649,-0.830,-0.107,-2.140,0.224,0.731,1.479,-1.381,3.036,1.047,0.831,0.113,-7.991,0.046,-0.496,0.002,535.448,336.520
101102.524,302.180,1.166,0.329,0.063,0.344,-1.081,-1.672,1.070,2.196,0.108,-0.830,-0.320,-1.284,-0.000,0.313,2.747,-2.018,2.617,1.465,1.142,0.564,-7.949,0.027,-0.486,0.002,535.448,336.520
101098.492,302.184,1.166,0.000,-0.095,0.184,-1.729,-0.000,1.392,2.509,0.216,-1.868,-0.641,-1.070,0.336,-0.104,2.536,-1.593,2.513,1.360,0.831,0.338,-7.970,0.046,-0.506,0.003,535.448,336.520
101098.492,302.181,1.166,0.329,0.063,0.024,-1.837,-0.223,2.034,1.777,1.190,-0.726,-1.708,-1.284,-0.000,-0.000,2.219,-1.699,2.722,0.314,0.519,0.451,-7.991,0.046,-0.496,0.003,535.448,336.520
101082.366,302.180,1.165,0.000,-0.095,0.344,-1.837,-0.557,2.141,2.196,1.081,-0.623,-0.854,-1.498,-0.335,1.044,1.796,-0.956,2.932,1.361,1.557,0.564,-6.055,0.046,-0.374,0.001,535.448,336.520
101074.304,302.180,1.165,0.000,-0.174,0.344,-1.081,-1.115,1.499,2.614,0.757,-0.830,-0.214,-0.856,0.224,0.835,3.486,-2.124,3.351,1.779,1.142,0.677,-6.055,0.008,-0.364,0.001,535.448,336.520
101082.366,302.184,1.165,0.000,-0.016,0.184,-1.189,-0.223,1.284,2.300,0.973,-1.453,-0.854,-0.856,0.559,-0.000,2.430,-1.168,2.723,1.570,1.142,0.226,-6.034,0.027,-0.384,0.001,535.448,336.520
101078.335,302.183,1.165,0.000,-0.095,0.184,-1.297,-0.557,2.034,2.091,0.973,-0.934,-1.281,-1.070,0.447,0.939,3.064,-1.381,3.037,0.942,0.935,1.015,-6.086,-0.012,-0.374,0.002,535.448,336.520
