%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101735.462,302.183,1.173,0.434,0.111,-0.520,-2.270,-1.672,1.284,1.046,0.216,-1.661,-1.815,-2.140,0.224,0.104,1.690,-2.230,2.513,0.419,0.519,-0.225,-8.064,0.157,-0.560,0.002,535.448,336.520
101747.557,302.181,1.173,0.232,0.032,0.120,-1.837,-1.449,1.177,1.673,0.324,-1.453,-1.495,-2.568,0.112,0.000,2.113,-2.336,2.617,0.837,-0.104,0.000,-8.064,0.118,-0.550,0.001,535.448,336.520
101743.525,302.184,1.173,0.232,0.032,-0.040,-2.162,-1.783,1.284,1.987,0.757,-2.076,-1.388,-1.391,-0.446,0.104,2.007,-1.699,2.513,0.628,0.415,-0.338,-8.043,0.137,-0.560,0.002,535.448,336.520
101747.557,302.184,1.173,0.232,0.032,-0.200,-2.270,-0.780,0.642,2.509,0.865,-1.349,-1.495,-1.712,0.112,-0.938,1.479,-2.230,2.094,0.628,0.727,0.000,-8.033,0.137,-0.530,0.001,535.448,336.520
101759.651,302.180,1.173,0.569,0.190,0.120,-2.810,-1.560,1.392,1.359,0.324,-1.245,-0.854,-1.819,-0.223,0.209,1.162,-2.124,2.827,0.314,0.415,0.338,-8.022,0.118,-0.540,0.001,535.448,336.520
101747.557,302.184,1.173,0.677,0.269,0.120,-1.729,-1.449,1.070,2.405,-0.108,-1.349,-1.495,-1.605,-0.446,0.418,2.219,-2.655,2.408,0.837,0.208,-0.338,-8.043,0.157,-0.530,0.001,535.448,336.520
101751.588,302.184,1.173,0.232,0.032,0.280,-2.054,-0.446,0.749,2.405,0.757,-2.076,-1.175,-1.605,-0.223,0.000,2.007,-1.487,2.199,0.523,0.831,-0.563,-8.022,0.099,-0.570,0.001,535.448,336.520
101739.494,302.188,1.173,0.770,0.348,-0.200,-1.837,-1.115,1.927,1.359,0.216,-1.557,-2.136,-1.498,-0.112,0.104,1.902,-2.336,2.617,0.314,0.831,0.113,-8.054,0.137,-0.570,0.002,535.448,336.520
101751.588,302.183,1.173,0.232,0.032,-0.040,-2.378,-1.560,1.070,2.196,0.433,-1.557,-1.388,-2.568,-0.223,0.313,1.902,-2.124,2.722,0.733,0.000,-0.113,-8.033,0.137,-0.560,0.002,535.448,336.520
101739.494,302.186,1.173,0.677,0.269,-0.040,-1.405,-2.006,1.070,1.673,0.541,-1.661,-1.495,-1.070,-1.228,0.000,2.324,-2.018,2.827,1.047,0.623,-0.225,-8.043,0.118,-0.550,0.002,535.448,336.520
