%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101751.588,302.234,1.173,0.526,0.162,0,-2.486,-1.337,1.391,1.777,0.973,-1.453,-0.747,-1.926,0.447,0.313,1.69,-1.699,2.722,0.942,0.831,0.338,-7.007,-0.044,-0.482,0.001,535.448,336.52,,,,,,
101751.588,302.234,1.173,0.376,0.083,0,-1.513,-2.118,1.284,2.091,0.324,-1.453,-1.495,-1.177,0.112,0.104,1.69,-2.549,2.827,1.047,0.727,0,-7.018,-0.044,-0.502,0.002,535.448,336.52,,,,,,
101751.588,302.231,1.173,0.526,0.162,-0.32,-2.27,-0.669,0.214,2.3,0.541,-2.076,-0.854,-0.856,0.336,-0.313,2.007,-1.487,1.989,0.523,0.104,0.113,-7.007,-0.044,-0.482,0,535.448,336.52,,,,,,
101755.62,302.234,1.173,0.376,0.083,0,-2.27,-1.115,1.499,1.568,0.324,-1.349,-1.388,-1.605,0.336,0.104,1.585,-2.124,2.827,0.105,0.519,0.226,-7.028,-0.025,-0.492,0.001,535.448,336.52,,,,,,
101747.557,302.234,1.173,0,-0.075,-0.16,-2.162,-1.337,1.606,1.673,0,-1.453,-1.281,-1.926,0.224,0.104,1.585,-1.593,2.827,0.837,-0.207,-0.338,-7.007,-0.025,-0.482,0.001,535.448,336.52,,,,,,
101767.714,302.236,1.173,0.082,0.004,0,-1.945,-1.449,0.963,1.673,0.757,-1.972,-1.388,-1.712,-0.893,0,1.585,-2.23,2.932,0.837,0.415,-0.788,-6.997,-0.006,-0.502,0.001,535.448,336.52,,,,,,
101759.651,302.233,1.173,0.376,0.083,-0.32,-1.945,-1.115,0.214,1.673,0.433,-1.245,-2.029,-2.14,0.447,-0.521,1.69,-1.805,2.408,0.209,-0.207,-0.45,-7.007,-0.063,-0.492,0.001,535.448,336.52,,,,,,
101763.683,302.233,1.173,0.526,0.162,0,-2.486,-1.003,0.963,0.627,0.433,-1.661,-1.602,-1.819,-0.558,0.313,1.796,-2.124,2.513,0.628,-0.311,-0.45,-6.986,-0.025,-0.502,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0.526,0.162,-0.16,-1.513,-1.895,0.963,1.987,0,-1.661,-1.175,-1.712,-0.223,-0.104,2.641,-2.974,2.303,0.628,0.104,-0.788,-6.955,-0.044,-0.492,0.001,535.448,336.52,,,,,,
101771.745,302.238,1.173,0.376,0.083,0.16,-1.729,-1.115,0.749,1.673,0.216,-1.972,-1.281,-1.605,0.336,-0.417,2.007,-1.912,1.989,0.523,0.415,-0.675,-7.007,-0.044,-0.492,0.001,535.448,336.52,,,,,,
101767.714,302.234,1.173,0.376,0.083,0,-2.054,-1.003,0.856,1.359,0.324,-1.453,-1.922,-1.391,-0.335,-0.208,1.902,-2.443,2.617,-0.313,0.104,0.113,-7.007,-0.025,-0.492,0.001,535.448,336.52,,,,,,
