%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
99784.239,303.508,1.145,0.000,-0.043,-0.192,-3.026,-3.121,-0.641,0.836,-0.216,-3.114,-2.776,-2.247,-2.121,-1.250,0.739,-3.823,1.152,-0.627,-0.622,-1.801,-7.986,0.036,-0.540,0.001,535.448,336.520
99780.207,303.510,1.145,0.249,0.036,0.128,-3.351,-2.563,-1.283,0.418,-0.108,-3.321,-3.097,-2.675,-0.893,-1.875,1.056,-3.292,0.628,-0.627,-1.036,-1.576,-7.976,0.055,-0.540,0.002,535.448,336.520
99788.270,303.510,1.145,0.447,0.115,0.128,-3.459,-2.341,-0.000,-0.104,-0.972,-2.698,-2.456,-2.461,-1.005,-1.250,0.211,-3.717,1.152,-1.358,-1.036,-1.463,-7.965,0.055,-0.530,0.002,535.448,336.520
99792.302,303.512,1.145,0.249,0.036,0.288,-3.459,-3.121,-0.428,0.836,-0.972,-3.217,-2.563,-3.103,-1.451,-1.563,0.845,-3.823,1.257,-0.104,-1.658,-2.026,-7.976,0.017,-0.540,0.001,535.448,336.520
99788.270,303.510,1.145,0.447,0.115,-0.192,-3.567,-3.232,-0.428,0.105,-0.324,-3.217,-2.776,-2.354,-1.898,-1.563,0.422,-3.080,1.047,-0.731,-0.622,-2.476,-7.923,0.055,-0.530,0.002,535.448,336.520
99784.239,303.510,1.145,0.000,-0.043,0.128,-3.675,-2.341,-0.214,0.523,-0.324,-2.594,-2.990,-2.568,-0.781,-1.771,0.528,-3.080,1.361,-0.522,-0.311,-0.901,-7.965,0.055,-0.530,0.001,535.448,336.520
99784.239,303.510,1.145,0.000,-0.043,0.128,-3.891,-1.895,-0.000,0.418,0.000,-2.387,-2.883,-2.889,-1.340,-1.042,0.211,-3.717,0.942,-0.940,-0.726,-1.576,-7.955,0.036,-0.551,0.001,535.448,336.520
99780.207,303.508,1.145,0.000,-0.043,0.128,-3.459,-3.232,-0.534,0.732,-1.295,-3.424,-2.990,-2.462,-1.340,-1.250,0.528,-4.248,1.152,-0.731,-1.036,-1.351,-7.976,0.055,-0.530,0.002,535.448,336.520
99784.239,303.507,1.145,0.000,-0.043,-0.192,-3.242,-2.341,-0.534,0.627,-0.432,-3.217,-2.883,-2.355,-1.228,-1.667,0.739,-3.398,0.419,-0.104,-0.933,-1.576,-7.965,0.017,-0.551,0.001,535.448,336.520
99780.207,303.510,1.145,0.000,-0.202,-0.512,-3.459,-2.229,-0.107,-0.313,-0.756,-3.009,-3.524,-2.355,-1.339,-1.667,0.634,-3.823,0.838,-1.567,-0.726,-1.463,-7.996,0.055,-0.530,0.001,535.448,336.520
99776.176,303.507,1.145,0.000,-0.122,-0.032,-3.783,-2.786,-0.428,0.523,-0.324,-3.113,-2.349,-3.104,-0.893,-0.938,0.845,-3.717,1.152,-0.313,-1.036,-1.463,-7.986,0.075,-0.540,0.001,535.448,336.520
99792.302,303.507,1.145,0.000,-0.202,-0.192,-3.134,-2.563,-0.107,0.836,0.000,-2.802,-2.990,-2.569,-1.897,-1.355,0.951,-3.823,1.466,-0.731,-0.726,-1.688,-7.976,0.017,-0.540,0.001,535.448,336.520
